|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
2000,2.72,55.71,3.56,3.45
2100,2.86,65.76,3.76,3.6
1900,2.61,78.84,3.39,3.27
2400,3.31,89.79,4.3,4.14
2500,3.44,91.44,4.5,4.27
2900,4.02,100.38,5.3,5.07
3100,4.36,105.46,5.71,5.39
2300,3.2,112.27,4.14,3.98
2800,3.94,114.29,5.19,4.87
3300,4.59,126.54,6.04,5.75
1600,2.41,56.68,2.86,2.78
1700,2.57,74.22,3.04,3.0
1800,2.74,87.9,3.26,3.17
4800,6.67,139.48,8.8,8.42
1300,1.97,46.52,2.31,2.27
1200,1.84,41.74,2.17,2.15
1100,1.68,43.56,1.98,1.93
2200,3.22,161.44,4.12,3.8
1500,2.3,65.12,2.71,2.66
800,1.2,18.43,1.44,1.4
100,0.15,2.24,0.19,0.18
300,0.46,6.7,0.29,0.28
200,0.3,4.04,0.37,0.34
400,0.6,7.86,0.72,0.7
3000,4.4,164.54,5.76,4.75
500,0.75,14.95,0.89,0.85
600,0.91,18.44,1.08,1.04
900,1.37,37.18,1.65,1.57
1400,2.17,71.07,1.39,1.38
700,1.06,27.22,0.7,0.7
4100,5.73,173.23,4.13,4.08
2700,3.77,178.29,2.7,2.6
1000,1.55,54.16,1.0,1.04
3200,4.56,178.76,3.26,3.13
3700,5.22,175.73,3.76,3.61
4000,5.58,190.8,4.08,3.95
3400,4.99,189.65,3.56,3.32
3600,5.13,166.94,3.68,3.57
4700,6.63,165.02,4.84,4.64
2600,3.66,168.63,2.61,2.56
3900,5.49,155.05,4.0,3.79
4300,6.01,159.76,4.23,4.13
4600,6.5,160.88,4.7,4.41
3500,5.15,157.29,3.48,3.26
3800,5.38,150.91,3.74,3.49
4400,6.26,159.34,4.09,3.95
5000,7.15,168.28,4.65,4.51
4900,7.02,186.5,4.47,4.32
4200,6.0,200.14,3.87,3.72
4500,6.71,259.58,4.26,3.93
