|V|+|E|,gabow,tarjan
100,663552,2088960
200,3690496,8724480
300,3756032,10969088
400,3727360,10403840
500,12996608,38572032
600,13021184,37883904
700,13209600,37593088
800,12894208,36593664
900,12976128,37588992
1000,12451840,36651008
1100,13008896,37867520
1200,13156352,36777984
1300,13037568,38006784
1400,13692928,37351424
1500,14397440,39161856
1600,14106624,38612992
1700,15159296,41041920
1800,52649984,150822912
1900,53583872,152535040
2000,54030336,151990272
2100,54796288,153411584
2200,54927360,153255936
2300,55889920,154624000
2400,55865344,154820608
2500,57274368,155697152
2600,57434112,156418048
2700,57585664,156712960
2800,58966016,157753344
2900,58650624,157863936
3000,60022784,158720000
3100,59813888,158830592
3200,61116416,160161792
3300,60854272,159973376
3400,62357504,161099776
3500,61456384,160837632
3600,63483904,162209792
3700,62640128,161906688
3800,64593920,163618816
3900,64118784,163090432
4000,65519616,164491264
4100,64630784,163926016
4200,66686976,165572608
4300,65998848,165236736
4400,67592192,166518784
4500,66977792,166068224
4600,68567040,167669760
4700,67624960,167071744
4800,69750784,168611840
4900,68698112,167911424
5000,70713344,169762816
