|V|+|E|,gabow,tarjan
100,3694592,11137024
200,12374016,38506496
300,12972032,38535168
400,11849728,39952384
500,53694464,152530944
600,52285440,154730496
700,57966592,156528640
800,57741312,158814208
900,62050304,160501760
1000,60657664,162717696
1100,66101248,164622336
1200,65024000,166539264
1300,69554176,168345600
1400,68841472,170618880
1500,73932800,172421120
1600,73269248,174497792
1700,76795904,176250880
1800,226086912,620994560
1900,229253120,622583808
2000,229937152,624754688
2100,233111552,626331648
2200,234434560,628649984
2300,236503040,630386688
2400,238788608,632508416
2500,241332224,634671104
2600,242987008,636268544
2700,244613120,638189568
2800,246452224,640024576
2900,248573952,642162688
3000,250347520,643981312
3100,252006400,645988352
3200,255102976,648519680
3300,256626688,649981952
3400,258375680,651812864
3500,260665344,653746176
3600,262553600,655884288
3700,264503296,657948672
3800,266158080,659763200
3900,268484608,662126592
4000,270495744,663859200
4100,272117760,665486842
4200,274219008,668131328
4300,276512768,670684684
4400,278228992,671494144
4500,279625728,674864684
4600,282341376,675610624
4700,284327936,678198438
4800,285716480,679231488
4900,287948800,681684314
5000,290091008,683360256
