|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
3500,2.4,4.85,1.71,2.5
3600,2.46,4.93,1.75,2.54
3700,2.54,5.25,1.78,2.65
3800,2.65,5.18,1.84,2.61
3900,2.75,5.39,1.87,2.67
4000,2.86,5.6,1.91,2.74
4100,2.96,5.69,1.98,2.83
4200,3.01,5.9,2.01,2.86
4300,3.12,5.99,2.07,2.95
4400,3.2,6.06,2.12,2.99
4500,3.31,6.22,2.15,3.1
4600,3.4,6.33,2.19,3.17
4700,3.48,6.5,2.27,3.28
4800,3.61,6.62,2.29,3.29
5000,3.75,6.9,2.38,3.4
4900,3.68,6.95,2.37,3.5
3100,2.05,4.35,1.52,2.24
3000,1.97,4.23,1.46,2.17
2700,1.72,3.79,1.33,1.92
3400,2.3,4.72,1.66,2.39
2500,1.55,3.6,1.24,1.78
2900,1.89,4.1,1.43,2.06
2400,1.48,3.38,1.18,1.73
2300,1.4,3.25,1.14,1.64
2600,1.64,3.66,1.28,1.85
3300,2.22,4.6,1.63,2.46
2200,1.33,3.12,1.1,1.58
2800,1.83,4.01,1.39,1.95
2100,1.26,3.02,1.04,1.53
1900,1.12,2.81,0.95,1.37
3200,2.14,4.49,1.56,2.31
2000,1.19,2.89,0.99,1.45
300,0.14,0.52,0.17,0.25
400,0.19,0.65,0.22,0.32
500,0.24,0.81,0.28,0.4
100,0.05,0.21,0.07,0.09
600,0.29,0.95,0.33,0.46
200,0.09,0.38,0.13,0.17
700,0.35,1.1,0.39,0.56
800,0.41,1.23,0.43,0.6
900,0.46,1.36,0.47,0.68
1000,0.52,1.52,0.53,0.74
1100,0.59,1.66,0.57,0.8
1200,0.64,1.77,0.62,0.88
1300,0.71,1.9,0.66,0.94
1400,0.77,2.06,0.72,1.04
1500,0.84,2.17,0.76,1.06
1600,0.91,2.34,0.81,1.14
1700,0.99,2.45,0.86,1.27
1800,1.05,2.59,0.9,1.28
