|V|+|E|,gabow,kosaraju_nx,tarjan,tarjan_nx
3500,8.05,47.65,9.44,10.51
3600,8.27,49.81,9.22,11.19
3700,8.3,51.34,9.57,10.82
3900,8.85,53.18,10.41,11.73
4100,9.33,54.93,10.96,11.72
3800,8.87,55.86,10.64,12.37
4000,8.94,55.88,10.35,12.25
4300,9.95,59.06,12.87,13.59
4200,9.68,58.85,12.69,14.31
4500,10.22,63.07,11.44,13.67
4400,10.37,62.23,12.55,17.72
4600,10.41,64.04,12.22,16.28
4700,10.58,65.95,13.05,16.47
4800,10.99,67.35,12.94,18.55
4900,11.22,68.23,13.59,20.38
5000,11.58,69.36,13.31,20.19
3200,7.01,44.41,8.61,9.96
2500,5.5,34.34,6.77,7.18
3100,6.85,43.35,8.69,11.38
2200,4.93,31.16,6.22,7.32
3000,6.83,42.19,8.74,9.48
3300,7.56,47.8,9.18,12.73
2300,5.25,33.06,6.66,5.36
2100,4.81,30.34,6.21,4.62
3400,7.94,50.21,10.17,11.75
2800,6.33,42.68,8.27,10.42
1900,4.27,27.42,5.46,5.63
2600,5.84,38.21,7.71,8.81
2700,6.55,39.5,7.8,9.18
2000,4.56,30.31,5.48,5.98
2900,6.63,45.07,8.76,9.79
2400,5.56,37.81,7.31,7.51
300,0.64,3.66,0.75,0.6
400,0.91,4.94,1.11,0.84
100,0.23,1.24,0.29,0.2
500,1.1,6.2,1.3,1.15
200,0.43,2.45,0.5,0.4
600,1.31,7.43,1.56,1.24
700,1.54,8.85,1.86,1.52
800,1.71,10.46,1.99,1.9
900,1.98,11.67,2.46,2.13
1000,2.21,13.3,2.63,2.31
1100,2.41,14.2,2.91,2.31
1200,2.59,15.35,3.02,2.54
1300,2.88,17.12,3.19,2.69
1500,3.33,20.54,4.17,3.29
1400,3.25,19.29,4.01,3.16
1700,3.84,23.31,4.48,3.88
1800,4.3,24.4,4.83,4.22
1600,3.6,22.08,4.48,3.7
